"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6D48DJFD","journalArticle","2019","Krause, D. S.","IFN-Î³ binds TPO to inhibit hematopoiesis","Blood","","","","","","2019-05","2019-05-25 21:30:52","2019-05-25 21:30:52","","2004-2005","","19","133","","","","","","","","","","","","","","","","","Citation Key: pmid31072961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"579VRSN3","journalArticle","2019","Hu, X.; Liu, Z. Z.; Chen, X.; Schulz, V. P.; Kumar, A.; Hartman, A. A.; Weinstein, J.; Johnston, J. F.; Rodriguez, E. C.; Eastman, A. E.; Cheng, J.; Min, L.; Zhong, M.; Carroll, C.; Gallagher, P. G.; Lu, J.; Schwartz, M.; King, M. C.; Krause, D. S.; Guo, S.","MKL1-actin pathway restricts chromatin accessibility and prevents mature pluripotency activation","Nat Commun","","","","","","2019-04","2019-05-25 21:30:52","2019-05-25 21:30:52","","1695","","1","10","","","","","","","","","","","","","","","","","Citation Key: pmid30979898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G89JGB9H","journalArticle","2019","Scanlon, V. M.; Teixeira, A. M.; Tyagi, T.; Zou, S.; Zhang, P. X.; Booth, C. J.; Kowalska, M. A.; Bao, J.; Hwa, J.; Hayes, V.; Marks, M. S.; Poncz, M.; Krause, D. S.","Epithelial (E)-Cadherin is a Novel Mediator of Platelet Aggregation and Clot Stability","Thromb. Haemost.","","","","","","2019-05","2019-05-25 21:30:53","2019-05-25 21:30:53","","744-757","","5","119","","","","","","","","","","","","","","","","","Citation Key: pmid30861547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUZI9LRP","journalArticle","2019","Chakraborty, R.; Saddouk, F. Z.; Carrao, A. C.; Krause, D. S.; Greif, D. M.; Martin, K. A.","Promoters to Study Vascular Smooth Muscle","Arterioscler. Thromb. Vasc. Biol.","","","","","","2019-04","2019-05-25 21:30:53","2019-05-25 21:30:53","","603-612","","4","39","","","","","","","","","","","","","","","","","Citation Key: pmid30727757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H5GU2EZW","journalArticle","2019","Wang, N.; Zheng, J.; Chen, Z.; Liu, Y.; Dura, B.; Kwak, M.; Xavier-Ferrucio, J.; Lu, Y. C.; Zhang, M.; Roden, C.; Cheng, J.; Krause, D. S.; Ding, Y.; Fan, R.; Lu, J.","Single-cell microRNA-mRNA co-sequencing reveals non-genetic heterogeneity and mechanisms of microRNA regulation","Nat Commun","","","","","","2019-01","2019-05-25 21:30:53","2019-05-25 21:30:53","","95","","1","10","","","","","","","","","","","","","","","","","Citation Key: pmid30626865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLUWQ2LF","journalArticle","2018","Lu, Y. C.; Sanada, C.; Xavier-Ferrucio, J.; Wang, L.; Zhang, P. X.; Grimes, H. L.; Venkatasubramanian, M.; Chetal, K.; Aronow, B.; Salomonis, N.; Krause, D. S.","The Molecular Signature of Megakaryocyte-Erythroid Progenitors Reveals a Role for the Cell Cycle in Fate Specification","Cell Rep","","","","","","2018-11","2019-05-25 21:30:53","2019-05-25 21:30:53","","2083-2093","","8","25","","","","","","","","","","","","","","","","","Citation Key: pmid30463007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9NFC9F3","journalArticle","2018","Rahman, N. T.; Schulz, V. P.; Wang, L.; Gallagher, P. G.; Denisenko, O.; Gualdrini, F.; Esnault, C.; Krause, D. S.","MRTFA augments megakaryocyte maturation by enhancing the SRF regulatory axis","Blood Adv","","","","","","2018-10","2019-05-25 21:30:53","2019-05-25 21:30:53","","2691-2703","","20","2","","","","","","","","","","","","","","","","","Citation Key: pmid30337297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZ2SJM6D","journalArticle","2018","Xavier-Ferrucio, J.; Krause, D. S.","Concise Review: Bipotent Megakaryocytic-Erythroid Progenitors: Concepts and Controversies","Stem Cells","","","","","","2018-08","2019-05-25 21:30:54","2019-05-25 21:30:54","","1138-1145","","8","36","","","","","","","","","","","","","","","","","Citation Key: pmid29658164","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2WPU45V","journalArticle","2018","Jin, H.; Ciechanowicz, A. K.; Kaplan, A. R.; Wang, L.; Zhang, P. X.; Lu, Y. C.; Tobin, R. E.; Tobin, B. A.; Cohn, L.; Zeiss, C. J.; Lee, P. J.; Bruscia, E. M.; Krause, D. S.","Surfactant protein C dampens inflammation by decreasing JAK/STAT activation during lung repair","Am. J. Physiol. Lung Cell Mol. Physiol.","","","","","","2018-05","2019-05-25 21:30:54","2019-05-25 21:30:54","","L882-L892","","5","314","","","","","","","","","","","","","","","","","Citation Key: pmid29345196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6A4RDA8J","journalArticle","2018","Xavier-Ferrucio, J.; Ricon, L.; Vieira, K.; Longhini, A. L.; Lazarini, M.; Bigarella, C. L.; Franchi, G.; Krause, D. S.; Saad, S. T. O.","Hematopoietic defects in response to reduced Arhgap21","Stem Cell Res","","","","","","2018-01","2019-05-25 21:30:54","2019-05-25 21:30:54","","17-27","","","26","","","","","","","","","","","","","","","","","Citation Key: pmid29212046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
